Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2013-10-20,Pixie Hollow Bake Off,Tink challenges Gelata to see who can bake the best cake for the queen's party.  Plus 10 Disney Fairies Mini-Shorts:,,,,,,
 - Just Desserts,,,,,,,,
 - If The Hue Fits,,,,,,,,
 - Dust Up,,,,,,,,
 - Scents And Sensibility,,,,,,,,
 - Just One Of The Girls,,,,,,,,
 - Volleybug,,,,,,,,
 - Hide And Tink,,,,,,,,
 - Rainbow's Ends,,,,,,,,
 - Fawn And Games,,,,,,,,
 - Magic Tricks,61.328,35,7.1,en,Animation,https://image.tmdb.org/t/p/original/6iXYe7AkQ1QIfMFuvXsSCT2zF7s.jpg,,
